Date,Open,High,Low,Close,Volume
2019-01-01,150.02,153.23,146.77,150.0,1413067
2019-01-02,152.45,155.91,149.12,152.52,3892233
2019-01-03,151.33,154.16,149.23,151.7,4820548
2019-01-04,154.15,155.49,152.14,153.81,4418648
2019-01-07,151.79,152.57,150.91,151.74,3048235
2019-01-08,150.79,154.31,149.06,151.69,1940829
2019-01-09,152.3,154.66,148.15,151.4,1963038
2019-01-10,151.93,154.41,150.14,152.28,3882585
2019-01-11,151.31,152.73,150.22,151.48,2573735
2019-01-14,153.2,155.59,152.27,153.93,1010386
2019-01-15,155.45,157.68,152.96,155.32,3612985
2019-01-16,157.01,159.91,153.1,156.51,1138266
2019-01-17,157.99,158.35,155.7,157.03,4974025
2019-01-18,156.12,159.96,154.54,157.25,2384608
2019-01-21,157.87,159.83,153.54,156.69,2053554
2019-01-22,160.24,163.51,155.93,159.72,776912
2019-01-23,158.57,160.29,157.96,159.12,1264111
2019-01-24,159.98,164.52,156.96,160.74,4860417
2019-01-25,159.94,163.2,157.73,160.46,2927026
2019-01-28,162.51,164.83,158.26,161.54,4619423
2019-01-29,161.39,162.92,160.95,161.93,4824800
2019-01-30,160.67,163.2,158.33,160.77,730674
2019-01-31,162.29,164.58,158.93,161.75,2240621
2019-02-01,163.63,164.47,160.85,162.66,4320120
2019-02-04,163.02,164.83,160.39,162.61,2732334
2019-02-05,161.34,163.28,158.11,160.69,2856484
2019-02-06,162.49,165.97,160.72,163.34,3164954
2019-02-07,164.03,164.0,162.09,163.04,3672295
2019-02-08,159.19,161.96,157.56,159.76,4918621
2019-02-11,156.2,158.59,155.68,157.14,4641166
2019-02-12,158.47,160.94,153.6,157.27,3318531
2019-02-13,156.96,161.58,153.84,157.71,3113776
2019-02-14,157.55,160.22,156.73,158.48,2144917
2019-02-15,157.04,158.06,155.39,156.72,1046341
2019-02-18,155.94,157.86,154.92,156.39,3706162
2019-02-19,157.3,160.53,155.93,158.23,523473
2019-02-20,156.32,159.58,152.56,156.07,3742619
2019-02-21,155.78,157.46,152.81,155.14,2769040
2019-02-22,156.35,156.57,154.67,155.62,4064191
2019-02-25,153.74,155.49,153.7,154.59,4834726
2019-02-26,156.99,158.35,155.35,156.85,3074333
2019-02-27,156.17,158.79,152.0,155.39,3134441
2019-02-28,152.54,156.04,150.7,153.37,2764177
2019-03-01,152.66,155.87,150.88,153.38,2178394
2019-03-04,149.46,152.38,148.95,150.66,932371
2019-03-05,151.2,154.7,147.57,151.14,643187
2019-03-06,150.99,153.5,149.97,151.73,3782874
2019-03-07,155.77,158.58,151.85,155.22,4824626
