SqFt,Bedrooms,Bathrooms,GarageCars,Age,LotSize,Floors,Pool,Fireplace,Renovated,Neighborhood,Condition,Style,Price
1083.0,6.0,2.0,2.0,38.0,8096.0,2.0,0.0,0.0,0.0,Midtown,Excellent,Modern,269100.0
4028.0,1.0,3.5,,42.0,5926.0,2.0,0.0,0.0,1.0,Westside,Good,Cape Cod,635100.0
,3.0,1.0,2.0,16.0,11366.0,1.0,0.0,0.0,1.0,Downtown,Poor,Ranch,504600.0
2587.0,,2.5,2.0,21.0,13932.0,1.0,0.0,1.0,0.0,Heritage,Excellent,Colonial,459500.0
2561.0,,3.5,1.0,56.0,6705.0,2.0,0.0,0.0,0.0,Eastside,Excellent,Ranch,366900.0
4391.0,1.0,4.0,0.0,51.0,15803.0,2.0,0.0,0.0,1.0,Eastside,Fair,Victorian,483100.0
1069.0,3.0,1.5,1.0,24.0,13499.0,2.0,0.0,0.0,1.0,Suburbs,Fair,Victorian,224900.0
3698.0,1.0,3.0,2.0,14.0,4999.0,1.0,1.0,1.0,1.0,Eastside,Poor,Ranch,417600.0
1566.0,5.0,1.5,0.0,18.0,18895.0,2.0,0.0,1.0,1.0,Downtown,Excellent,Modern,487400.0
1104.0,4.0,1.0,,32.0,2789.0,1.0,0.0,0.0,0.0,Heritage,Excellent,Ranch,138900.0
2963.0,3.0,2.0,1.0,34.0,13767.0,1.0,0.0,1.0,1.0,Westside,Poor,Modern,374000.0
4895.0,3.0,4.0,3.0,11.0,9912.0,2.0,0.0,0.0,0.0,Midtown,Good,Modern,795400.0
3863.0,1.0,3.0,2.0,3.0,13768.0,2.5,0.0,1.0,1.0,Lakeside,Fair,Cape Cod,710500.0
3972.0,6.0,2.5,2.0,29.0,15932.0,2.5,0.0,0.0,1.0,Lakeside,Good,Ranch,828800.0
3785.0,4.0,1.5,2.0,47.0,14369.0,3.0,1.0,0.0,1.0,Downtown,Poor,Cape Cod,570600.0
4080.0,2.0,1.0,0.0,9.0,13714.0,3.0,0.0,0.0,0.0,Downtown,Excellent,Victorian,828100.0
2906.0,3.0,1.5,1.0,24.0,17135.0,1.5,0.0,1.0,0.0,Uptown,Fair,Cape Cod,491300.0
1250.0,5.0,1.5,0.0,9.0,14633.0,2.5,1.0,1.0,0.0,Downtown,Excellent,Modern,444900.0
4310.0,5.0,1.5,3.0,14.0,16647.0,1.0,0.0,1.0,0.0,Eastside,Poor,Modern,494600.0
2636.0,3.0,3.0,3.0,36.0,9251.0,3.0,0.0,0.0,1.0,Eastside,Good,Ranch,393000.0
2851.0,2.0,1.0,1.0,17.0,5650.0,1.5,0.0,0.0,1.0,Eastside,Fair,Modern,359400.0
2294.0,4.0,1.0,1.0,15.0,6229.0,2.5,0.0,0.0,0.0,Downtown,Excellent,Victorian,551600.0
1484.0,4.0,2.5,1.0,59.0,13017.0,3.0,0.0,0.0,1.0,Heritage,Good,Cape Cod,237600.0
4685.0,4.0,2.0,3.0,10.0,11572.0,2.5,1.0,0.0,0.0,Heritage,Good,Modern,672500.0
4060.0,1.0,2.5,1.0,11.0,3388.0,3.0,0.0,1.0,0.0,Eastside,Poor,Ranch,395500.0
3468.0,3.0,1.0,3.0,55.0,5678.0,1.0,0.0,1.0,0.0,Downtown,Good,Cape Cod,553500.0
2430.0,4.0,1.5,1.0,33.0,19415.0,1.0,1.0,1.0,0.0,Midtown,Poor,Ranch,376300.0
4237.0,6.0,2.5,2.0,2.0,15072.0,2.5,0.0,0.0,1.0,Westside,Fair,Colonial,665200.0
3045.0,4.0,3.0,2.0,25.0,15589.0,2.0,1.0,0.0,1.0,Westside,Poor,Colonial,432800.0
2606.0,3.0,2.0,1.0,33.0,5545.0,1.0,0.0,0.0,1.0,Suburbs,Poor,Cape Cod,282800.0
2636.0,4.0,2.5,3.0,15.0,3155.0,2.5,0.0,0.0,0.0,Lakeside,Good,Ranch,540100.0
